No.,ブロックタイプ,タグ名,必要項目,記述,データタイプ,I/Oアドレス,生値,,,スケール変換値,,,,,
659,アナログ,REIKYAKU20,〇,固６装入サポート冷却水温度,WORD,FCS1:D:3429,0,～,100,0,～,100,,,
660,アナログ,REIKYAKU21,〇,固７装入サポート冷却水温度,WORD,FCS1:D:3430,0,～,100,0,～,100,,,
661,アナログ,REIKYAKU22,〇,固８装入サポート冷却水温度,WORD,FCS1:D:3431,0,～,100,0,～,100,,,
662,アナログ,REIKYAKU23,〇,可１装入サポート冷却水温度,WORD,FCS1:D:3432,0,～,100,0,～,100,,,
663,アナログ,REIKYAKU24,〇,可２装入サポート冷却水温度,WORD,FCS1:D:3433,0,～,100,0,～,100,,,
664,アナログ,REIKYAKU25,〇,可３装入サポート冷却水温度,WORD,FCS1:D:3434,0,～,100,0,～,100,,,
665,アナログ,REIKYAKU26,〇,可４装入サポート冷却水温度,WORD,FCS1:D:3435,0,～,100,0,～,100,,,
666,アナログ,REIKYAKU27,〇,可５装入サポート冷却水温度,WORD,FCS1:D:3436,0,～,100,0,～,100,,,
667,アナログ,REIKYAKU28,〇,抽出冷水ＢＯＸ冷却水温度,WORD,FCS1:D:3437,0,～,100,0,～,100,,,
668,アナログ,REIKYAKU29,〇,抽出側リンテル冷却水温度,WORD,FCS1:D:3438,0,～,100,0,～,100,,,
669,アナログ,REIKYAKU30,〇,抽出扉反ミル側冷却水温度,WORD,FCS1:D:3439,0,～,100,0,～,100,,,
670,アナログ,REIKYAKU31,〇,抽出扉ミル側冷却水温度,WORD,FCS1:D:3440,0,～,100,0,～,100,,,
671,アナログ,REIKYAKU32,〇,ＩＴＶ冷却水温度,WORD,FCS1:D:3441,0,～,100,0,～,100,,,
672,アナログ,REIKYAKU33,〇,放射温度計冷却水温度,WORD,FCS1:D:3442,0,～,100,0,～,100,,,
673,アナログ,REIKYAKU34,〇,ＥＸＴ１冷却水温度,WORD,FCS1:D:3443,0,～,100,0,～,100,,,
674,アナログ,REIKYAKU35,〇,ＥＸＴ２冷却水温度,WORD,FCS1:D:3444,0,～,100,0,～,100,,,
675,アナログ,REIKYAKU36,〇,本管冷却水温度,WORD,FCS1:D:3445,0,～,100,0,～,100,,,
681,アナログ,EI9301C,〇,燃焼空気ﾌﾞﾛｱ電流,WORD,FCS1:D:3480,0,～,10000,0,～,10000,,,
682,アナログ,EI9401C,〇,IDF電流,WORD,FCS1:D:3481,0,～,10000,0,～,10000,,,
781,デジタル,TI9031LAG：ACAL,〇,燃料LNG本管温度：CAL,WORD,FCS1:R:1424:1,0,～,1,0,～,1,,,
782,デジタル,TI9031LAG：AIOP,〇,燃料LNG本管温度：IOP警報,WORD,FCS1:R:1424:2,0,～,1,0,～,1,,,
783,アナログ,TI9031：PV,〇,燃料LNG本管温度：PV,WORD,FCS1:R:0,0,～,10000,0,～,100,℃,,
790,デジタル,TI9031：ACAL,〇,燃料LNG本管温度：CAL,WORD,FCS1:R:7:1,0,～,1,0,～,1,,,
797,デジタル,TI9031：AIOP,〇,燃料LNG本管温度：IOP警報,WORD,FCS1:R:7:10,0,～,1,0,～,1,,,
799,デジタル,TI9032LAG：ACAL,〇,燃焼空気本管温度：CAL,WORD,FCS1:R:1425:1,0,～,1,0,～,1,,,
800,デジタル,TI9032LAG：AIOP,〇,燃焼空気本管温度：IOP警報,WORD,FCS1:R:1425:2,0,～,1,0,～,1,,,
801,アナログ,TI9032：PV,〇,燃焼空気本管温度：PV,WORD,FCS1:R:9,0,～,10000,0,～,100,℃,,
808,デジタル,TI9032：ACAL,〇,燃焼空気本管温度：CAL,WORD,FCS1:R:16:1,0,～,1,0,～,1,,,
815,デジタル,TI9032：AIOP,〇,燃焼空気本管温度：IOP警報,WORD,FCS1:R:16:10,0,～,1,0,～,1,,,
835,デジタル,TI9010LAG：ACAL,〇,非燃焼帯温度：CAL,WORD,FCS1:R:1427:1,0,～,1,0,～,1,,,
836,デジタル,TI9010LAG：AIOP,〇,非燃焼帯温度：IOP警報,WORD,FCS1:R:1427:2,0,～,1,0,～,1,,,
837,アナログ,TI9010：PV,〇,非燃焼帯温度：PV,WORD,FCS1:R:27,0,～,10000,0,～,1400,℃,,
844,デジタル,TI9010：ACAL,〇,非燃焼帯温度：CAL,WORD,FCS1:R:34:1,0,～,1,0,～,1,,,
851,デジタル,TI9010：AIOP,〇,非燃焼帯温度：IOP警報,WORD,FCS1:R:34:10,0,～,1,0,～,1,,,
854,デジタル,FI9045LAG：AIOP,〇,ﾉｽﾞﾙ冷却空気流量：IOP警報,WORD,FCS1:R:1428:2,0,～,1,0,～,1,,,
856,デジタル,FI9045H：AIOP,〇,ﾉｽﾞﾙ冷却空気流量開平：IOP警報,WORD,FCS1:R:36:2,0,～,1,0,～,1,,,
871,デジタル,FI9045：AIOP,〇,ﾉｽﾞﾙ冷却空気流量：IOP警報,WORD,FCS1:R:44:10,0,～,1,0,～,1,,,
873,デジタル,AI9054LAG：ACAL,〇,煙道排ｶﾞｽNOX濃度：CAL,WORD,FCS1:R:1429:1,0,～,1,0,～,1,,,
874,デジタル,AI9054LAG：AIOP,〇,煙道排ｶﾞｽNOX濃度：IOP警報,WORD,FCS1:R:1429:2,0,～,1,0,～,1,,,
875,アナログ,AI9054：PV,〇,煙道排ｶﾞｽNOX濃度：PV,WORD,FCS1:R:46,0,～,10000,0,～,200,ppm,,
876,アナログ,AI9054：H,〇,煙道排ｶﾞｽNOX濃度：H,WORD,FCS1:R:47,0,～,10000,0,～,200,ppm,,
877,アナログ,AI9054：L,〇,煙道排ｶﾞｽNOX濃度：L,WORD,FCS1:R:48,0,～,10000,0,～,200,ppm,,
878,アナログ,AI9054：HH,〇,煙道排ｶﾞｽNOX濃度：HH,WORD,FCS1:R:49,0,～,10000,0,～,200,ppm,,
879,アナログ,AI9054：LL,〇,煙道排ｶﾞｽNOX濃度：LL,WORD,FCS1:R:50,0,～,10000,0,～,200,ppm,,
889,デジタル,AI9054：AIOP,〇,煙道排ｶﾞｽNOX濃度：IOP警報,WORD,FCS1:R:53:10,0,～,1,0,～,1,,,
892,デジタル,AI9055LAG：AIOP,〇,煙道排ｶﾞｽO2濃度：IOP警報,WORD,FCS1:R:1430:2,0,～,1,0,～,1,,,
907,デジタル,AI9055：AIOP,〇,煙道排ｶﾞｽO2濃度：IOP警報,WORD,FCS1:R:62:10,0,～,1,0,～,1,,,
909,デジタル,TI9061LAG：ACAL,〇,装入材料温度：CAL,WORD,FCS1:R:1431:1,0,～,1,0,～,1,,,
910,デジタル,TI9061LAG：AIOP,〇,装入材料温度：IOP警報,WORD,FCS1:R:1431:2,0,～,1,0,～,1,,,
911,アナログ,TI9061：PV,〇,装入材料温度：PV,WORD,FCS1:R:64,0,～,10000,0,～,800,℃,,
925,デジタル,TI9061：AIOP,〇,装入材料温度：IOP警報,WORD,FCS1:R:71:10,0,～,1,0,～,1,,,
927,デジタル,TI9065LAG：ACAL,〇,1側抽出材料温度：CAL,WORD,FCS1:R:1432:1,0,～,1,0,～,1,,,
928,デジタル,TI9065LAG：AIOP,〇,1側抽出材料温度：IOP警報,WORD,FCS1:R:1432:2,0,～,1,0,～,1,,,
929,アナログ,TI9065：PV,〇,1側抽出材料温度：PV,WORD,FCS1:R:73,0,～,10000,900,～,1400,℃,,
943,デジタル,TI9065：AIOP,〇,1側抽出材料温度：IOP警報,WORD,FCS1:R:80:10,0,～,1,0,～,1,,,
945,デジタル,TI9066LAG：ACAL,〇,2側抽出材料温度：CAL,WORD,FCS1:R:1433:1,0,～,1,0,～,1,,,
946,デジタル,TI9066LAG：AIOP,〇,2側抽出材料温度：IOP警報,WORD,FCS1:R:1433:2,0,～,1,0,～,1,,,
947,アナログ,TI9066：PV,〇,2側抽出材料温度：PV,WORD,FCS1:R:82,0,～,10000,900,～,1400,℃,,
961,デジタル,TI9066：AIOP,〇,2側抽出材料温度：IOP警報,WORD,FCS1:R:89:10,0,～,1,0,～,1,,,
963,デジタル,FI9042LAG：ACAL,〇,ﾊﾟｲﾛｯﾄｶﾞｽ流量：CAL,WORD,FCS1:R:1434:1,0,～,1,0,～,1,,,
964,デジタル,FI9042LAG：AIOP,〇,ﾊﾟｲﾛｯﾄｶﾞｽ流量：IOP警報,WORD,FCS1:R:1434:2,0,～,1,0,～,1,,,
967,アナログ,FI9042：PV,〇,ﾊﾟｲﾛｯﾄｶﾞｽ流量：PV,WORD,FCS1:R:92,0,～,10000,0,～,140,Nm3/h,,
